"unit","unit_type","is_seeded","season","rainfall","pred_COSMO"
7,48,1,"2015-2016",5.57333333333333,10.7440508933333
9,48,1,"2015-2016",29.4666666666667,13.9141845606667
48,48,1,"2015-2016",18.75,7.36544558333333
11,48,0,"2016-2017",5.08,2.80335893666667
13,48,0,"2016-2017",9.64,3.13969666666667
14,48,0,"2016-2017",12.3266666666667,9.01289466666667
10,48,1,"2016-2017",77.58,71.0408933333333
12,48,1,"2016-2017",0.00333333333333333,0.0372395866666667
15,48,1,"2016-2017",9.62666666666667,5.76281896666667
17,48,0,"2017-2018",23.0033333333333,11.3883306666667
21,48,0,"2017-2018",8.62666666666667,8.73805433333335
16,48,1,"2017-2018",14.9033333333333,14.2519826666667
18,48,1,"2017-2018",7.77,4.44021985
19,48,1,"2017-2018",23.9333333333333,24.70589
20,48,1,"2017-2018",17.66,6.527376692
22,48,0,"2018-2019",44.9,35.2284476666667
24,48,0,"2019-2020",27.6392857142857,21.1250193571429
23,48,1,"2019-2020",18.3,10.4074039285714
